DATE,ME,AVG,TIME,RELATIVE SCORE,CO2,TEMP
04/19/21,231,214,,107.943925233645,807,
04/19/21,181,180,,100.555555555556,830,
04/20/21,170,175,,97.1428571428571,1143,
04/20/21,240,208,,115.384615384615,1155,
04/20/21,227,173,,131.21387283237,531,
04/20/21,185,215,,86.046511627907,559,
04/20/21,216,221,,97.737556561086,570,
04/20/21,179,215,,83.2558139534884,576,
04/21/21,248,264,,93.9393939393939,944,
04/21/21,239,232,,103.01724137931,808,
04/21/21,237,204,,116.176470588235,416,
04/21/21,76,125,,60.8,426,
04/22/21,182,208,,87.5,963,
04/22/21,133,179,,74.3016759776536,1016,
04/22/21,196,215,,91.1627906976744,1020,
04/22/21,246,238,,103.361344537815,1233,
04/22/21,240,211,,113.744075829384,1283,
04/22/21,212,189,,112.169312169312,1234,
04/22/21,130,161,,80.7453416149068,1283,
04/23/21,207,221,,93.6651583710407,459,
04/26/21,269,206,,130.582524271845,1660,
04/26/21,177,183,,96.7213114754098,895,
04/27/21,127,127,,100,1140,
04/28/21,171,230,,74.3478260869565,1492,
04/28/21,173,181,,95.5801104972376,2027,
04/29/21,172,182,,94.5054945054945,1914,
04/29/21,236,217,,108.755760368664,1615,
04/29/21,234,315,,74.2857142857143,880,
04/29/21,288,519,,55.4913294797688,880,
04/29/21,223,223,,100,879,
04/29/21,153,131,,116.793893129771,1360,
04/29/21,219,262,,83.587786259542,2082,
05/04/21,205,185,,110.810810810811,2169,
05/06/21,240,224,,107.142857142857,1320,
05/06/21,221,174,,127.011494252874,1291,
05/07/21,279,240,,116.25,1345,
05/09/21,232,212,,109.433962264151,1404,
05/09/21,180,206,,87.378640776699,2035,
05/12/21,165,229,,72.0524017467249,1420,
05/12/21,136,164,,82.9268292682927,1213,
05/16/21,135,121,,111.570247933884,1215,
05/16/21,159,139,,114.388489208633,1221,
05/16/21,185,142,,130.281690140845,1226,
05/16/21,147,158,,93.0379746835443,1237,
05/16/21,143,140,,102.142857142857,1146,
05/16/21,160,221,,72.3981900452489,1166,
05/16/21,285,212,,134.433962264151,1208,
05/16/21,263,226,,116.371681415929,693,
05/16/21,156,193,,80.8290155440415,692,
05/16/21,117,139,,84.1726618705036,830,
05/16/21,217,272,,79.7794117647059,1022,
05/20/21,254,237,,107.172995780591,1211,
05/20/21,241,250,,96.4,1209,
05/20/21,207,170,,121.764705882353,1210,
05/20/21,155,203,,76.3546798029557,1676,
05/21/21,245,317,,77.2870662460568,1699,
05/21/21,120,123,,97.5609756097561,1292,
05/21/21,114,97,,117.525773195876,1305,
05/21/21,166,168,08:20:00 PM,98.8095238095238,805,
05/21/21,146,125,09:37:00 PM,116.8,1029,
05/21/21,341,285,09:41:00 PM,119.649122807018,1057,
05/21/21,226,194,02:50:00 PM,116.494845360825,1113,
05/22/21,186,184,02:50:00 PM,101.086956521739,1352,
05/22/21,263,197,02:50:00 PM,133.502538071066,1367,
05/22/21,235,187,02:50:00 PM,125.668449197861,1385,
05/22/21,142,140,06:30:00 PM,101.428571428571,937,
05/22/21,199,238,,83.6134453781513,959,
05/22/21,134,97,01:40:00 AM,138.144329896907,1788,
05/22/21,178,241,01:44:00 AM,73.8589211618257,1773,
05/22/21,293,240,01:48:00 AM,122.083333333333,1696,
